일시,지역명,검색건수
07,경상북도 문경시,53545
09,경상북도 문경시,74014
05,경상북도 문경시,65144
08,경상북도 문경시,68443
01,경상북도 문경시,35157
02,경상북도 문경시,39724
10,경상북도 문경시,101540
11,경상북도 문경시,52967
12,경상북도 문경시,37901
03,경상북도 봉화군,7169
04,경상북도 봉화군,10030
06,경상북도 봉화군,10724
07,경상북도 봉화군,10533
09,경상북도 봉화군,17564
05,경상북도 봉화군,11821
08,경상북도 봉화군,15121
01,경상북도 봉화군,7845
02,경상북도 봉화군,6302
10,경상북도 봉화군,19496
11,경상북도 봉화군,9670
12,경상북도 봉화군,10762
03,경상북도 상주시,31127
04,경상북도 상주시,36436
06,경상북도 상주시,36159
07,경상북도 상주시,35692
09,경상북도 상주시,46127
05,경상북도 상주시,37485
08,경상북도 상주시,40474
01,경상북도 상주시,26485
02,경상북도 상주시,23503
10,경상북도 상주시,45731
11,경상북도 상주시,31861
12,경상북도 상주시,26581
03,경상북도 성주군,13591
04,경상북도 성주군,12630
06,경상북도 성주군,14282
07,경상북도 성주군,18136
09,경상북도 성주군,16522
05,경상북도 성주군,16171
08,경상북도 성주군,25417
01,경상북도 성주군,8152
02,경상북도 성주군,9205
10,경상북도 성주군,17211
11,경상북도 성주군,10621
12,경상북도 성주군,11684
03,경상북도 안동시,71804
04,경상북도 안동시,90564
06,경상북도 안동시,86145
07,경상북도 안동시,77855
09,경상북도 안동시,123289
05,경상북도 안동시,92079
