일시,방문자 수,지역명
3,18600000.0,서울특별시 중구
3,9308521.0,세종특별자치시 세종특별자치시
3,9992931.0,울산광역시 남구
3,3829599.0,울산광역시 동구
3,5639756.0,울산광역시 북구
3,7047104.0,울산광역시 울주군
3,5210633.0,울산광역시 중구
3,1521479.0,인천광역시 동구
3,10200000.0,인천광역시 미추홀구
3,11500000.0,인천광역시 연수구
3,11700000.0,인천광역시 남동구
3,11000000.0,인천광역시 부평구
3,6302210.0,인천광역시 계양구
3,3018746.0,인천광역시 강화군
3,878861.0,인천광역시 옹진군
3,15500000.0,인천광역시 서구
3,13000000.0,인천광역시 중구
3,7946968.0,전라남도 목포시
3,7197877.0,전라남도 여수시
3,7612102.0,전라남도 순천시
3,3744156.0,전라남도 나주시
3,3953713.0,전라남도 광양시
3,2126574.0,전라남도 담양군
3,853719.0,전라남도 곡성군
3,1572638.0,전라남도 구례군
3,1352491.0,전라남도 고흥군
3,1183283.0,전라남도 보성군
3,2254329.0,전라남도 화순군
3,1177246.0,전라남도 장흥군
3,1187663.0,전라남도 강진군
3,1764516.0,전라남도 해남군
3,1963816.0,전라남도 영암군
3,3012432.0,전라남도 무안군
3,814988.0,전라남도 함평군
3,1580574.0,전라남도 영광군
3,1520472.0,전라남도 장성군
3,1530797.0,전라남도 완도군
3,962319.0,전라남도 진도군
3,1195427.0,전라남도 신안군
3,9911272.0,전북특별자치도 전주시 완산구
3,9036899.0,전북특별자치도 전주시 덕진구
3,8438907.0,전북특별자치도 군산시
3,8292317.0,전북특별자치도 익산시
3,2776501.0,전북특별자치도 정읍시
3,2511498.0,전북특별자치도 남원시
3,2285640.0,전북특별자치도 김제시
3,3205862.0,전북특별자치도 완주군
3,653583.0,전북특별자치도 진안군
3,954343.0,전북특별자치도 무주군
3,505557.0,전북특별자치도 장수군
3,1085503.0,전북특별자치도 임실군
3,698190.0,전북특별자치도 순창군
3,1713759.0,전북특별자치도 고창군
3,1752452.0,전북특별자치도 부안군
3,19700000.0,제주특별자치도 제주시
3,8397177.0,제주특별자치도 서귀포시
3,3570940.0,충청남도 공주시
3,3742516.0,충청남도 보령시
3,9385509.0,충청남도 아산시
3,4868689.0,충청남도 서산시
3,3787728.0,충청남도 논산시
3,1153974.0,충청남도 계룡시
3,5665430.0,충청남도 당진시
3,2033606.0,충청남도 금산군
3,2349911.0,충청남도 부여군
3,2055199.0,충청남도 서천군
3,880766.0,충청남도 청양군
3,2898149.0,충청남도 홍성군
3,2850584.0,충청남도 예산군
3,2917869.0,충청남도 태안군
3,8499969.0,충청남도 천안시 동남구
3,7554217.0,충청남도 천안시 서북구
3,7799158.0,충청북도 충주시
3,3332315.0,충청북도 제천시
3,1165233.0,충청북도 보은군
3,1993958.0,충청북도 옥천군
3,1472054.0,충청북도 영동군
3,1358830.0,충청북도 증평군
3,2500741.0,충청북도 진천군
3,1419754.0,충청북도 괴산군
3,3392842.0,충청북도 음성군
3,1176593.0,충청북도 단양군
3,5640614.0,충청북도 청주시 상당구
3,4865941.0,충청북도 청주시 서원구
3,7326343.0,충청북도 청주시 흥덕구
3,5338348.0,충청북도 청주시 청원구
4,1516072.0,강원특별자치도 고성군
4,9338547.0,강원특별자치도 춘천시
4,10100000.0,강원특별자치도 원주시
4,7981815.0,강원특별자치도 강릉시
4,2975481.0,강원특별자치도 동해시
4,1416247.0,강원특별자치도 태백시
4,3860432.0,강원특별자치도 속초시
4,2399912.0,강원특별자치도 삼척시
